ID,buy_list_market_price
509491,
509490,
509495,
509492,
509494,
513067,
506726,0.07
513095,
512544,
512663,
512318,
262778,
499960,1.83
512642,
512597,0.01
503399,0.61
513354,
512410,
206024,0.34
507208,0.12
512656,
513376,0.52
512513,
512393,1.2
512292,
498752,0.36
504530,0.35
512673,
513356,
512607,0.46
513375,
206025,0.34
512479,
507170,0.11
513893,
513597,
513359,
512423,
512424,
513585,
512676,
512548,
513351,
488270,32.08
513062,
503397,0.37
206026,0.38
507178,0.09
509516,
206023,0.4
509500,
513080,
512547,
513505,
512868,
504617,0.48
513339,0.25
512422,
509511,
512220,
512350,
162175,1.65
513358,0.6
226646,0.32
513107,
512205,
239192,0.5
513374,
513890,
513961,0.1
512823,
512710,
498328,0.04
504592,0.2
512204,
512644,
514021,
230147,0.13
512703,
507194,0.05
512222,
512549,
503398,0.1
206022,0.21
512172,
512635,
509487,
513617,
507185,0.02
503414,0.14
512546,0.25
505806,0.24
190650,0.17
513618,
190649,0.63
513344,
513350,
512541,
512377,
512715,
475503,0.02
513386,
509483,
512510,
507137,0.01
503408,0.03
509501,
512401,
512698,
512994,
488255,0.71
256998,0.17
498308,0.19
513346,
512867,
512532,
475525,0.17
475527,0.56
513373,
513377,
503383,0.08
512160,10.1
512640,0.05
512609,
475524,0.24
190651,0.26
498367,34.45
279833,0.45
503393,0.06
513574,
503407,0.77
215716,0.07
503386,0.1
513021,
503403,0.67
279830,0.77
475523,0.26
507166,0.03
513329,
279832,0.62
490469,0.01
505825,0.62
503402,3.43
507118,0.11
512571,
512404,
509486,
279834,0.51
513362,
503601,0.31
513493,
507218,0.3
513072,
498684,0.12
512604,
509485,
509499,
248210,0.19
513401,
503379,0.11
504300,1.02
509512,3.0
512529,
512501,
268785,0.49
513096,
507190,0.02
215719,0.07
504511,0.2
282807,0.16
512714,0.05
512321,
513003,
507096,
247830,0.33
512600,
513331,
503562,0.57
512610,
512178,
257002,0.27
15479,0.18
505377,
488253,0.08
269371,0.7
279831,0.57
513094,
475526,0.22
513064,
513020,
512385,
513824,
503557,0.25
499872,1.25
484539,3.76
503369,0.08
246244,0.02
512706,
230468,0.22
503368,0.02
215713,0.01
498414,9.48
512193,
499221,0.26
512223,
488254,0.1
488131,0.2
262765,0.37
206658,0.03
513353,
513352,
504633,0.91
257000,0.08
506729,2.22
475504,0.02
488129,0.12
512605,
190653,0.57
498352,0.13
507151,0.52
507128,0.22
498419,0.14
228150,0.01
512354,
503382,0.01
183310,0.47
512528,
475502,0.02
475500,0.02
512871,
488251,0.17
512601,1.3
509506,
513092,
246015,0.27
488133,0.17
512543,
505965,2.15
253435,0.05
512684,0.2
512346,
512711,
488134,0.04
503376,0.01
282845,0.19
512679,
498408,0.01
513889,
503373,0.01
505962,0.81
457501,0.41
475501,0.01
512212,
503380,0.01
190652,0.33
512497,0.5
488250,0.09
488126,0.08
235876,1.22
230149,0.02
513820,
512192,
512702,
512236,1.55
509484,
268317,1.35
512598,
498399,0.01
513566,
504192,0.29
458224,0.11
513114,
507143,0.03
503377,0.01
503385,0.01
509513,
509488,
505356,0.38
512158,1.0
499456,5.57
230148,0.28
498404,0.01
503374,0.01
499873,1.16
507472,0.11
512208,
498369,0.2
498407,0.01
273794,0.09
503603,0.01
230150,0.01
513093,
507066,0.01
512496,
478441,0.69
513882,
507115,0.01
512386,0.26
513821,0.05
512366,
505369,0.02
199417,0.56
498406,0.01
509518,
513720,
512199,
512373,
512614,
272580,0.02
513300,
265358,0.16
490631,0.46
488278,0.84
498620,1.93
199035,0.07
499188,2.48
499368,1.59
512493,
230103,0.02
512538,
513332,
509515,5.57
512690,
503389,0.01
257680,0.86
513348,
265352,0.03
512399,
123110,0.22
256997,0.15
512298,
272683,
187181,0.21
265355,0.02
507159,0.16
452824,1.95
488252,0.08
122646,0.31
509529,
513074,
496031,2.44
513013,
490474,0.01
491759,0.41
57820,0.14
265356,0.18
503381,0.01
498425,31.62
272642,0.03
498401,0.01
256994,0.14
110547,0.33
512408,
513885,
512353,
269367,0.2
512512,
507278,0.11
514899,
504504,0.16
498400,0.01
1878,0.02
257681,1.07
512369,
512419,
222103,2.34
221355,0.02
513414,4.0
513877,
512540,
512210,
504612,1.26
499401,0.04
505798,0.23
499443,0.01
257678,0.58
226808,0.01
504105,0.69
269364,0.32
498527,0.01
35529,0.49
230100,0.27
253432,0.01
498363,7.14
512617,
513413,
226407,3.08
509489,
513402,
505106,0.22
514883,
505988,0.1
498402,0.01
512677,
512214,
514901,
247826,1.96
512495,
513421,
512483,
240047,5.1
507339,0.09
478819,0.55
277238,0.55
506051,
507071,
498350,1.19
507307,0.14
512638,
498405,0.01
490413,0.15
512186,
505101,0.07
512874,0.05
504585,4.87
512550,0.01
498682,1.39
505800,0.62
230099,0.01
203570,
505862,0.3
257682,0.88
240166,6.21
221901,1.43
513383,
199342,0.02
240055,0.61
110546,0.3
273423,0.04
243205,0.73
513403,
162231,0.03
512636,
503370,0.01
267061,0.09
491375,0.63
507113,0.12
513384,
503375,0.05
240035,17.62
452286,0.37
499208,0.01
452158,0.61
490468,0.03
499946,2.21
499345,0.99
512338,0.12
513040,
240340,0.06
505970,5.24
239695,0.56
226624,0.24
257685,0.62
507191,
505982,1.52
243448,1.35
509527,
513389,
505105,1.08
504583,0.64
505073,4.15
253735,0.27
513345,
513502,
505387,0.01
512417,0.05
513077,
272617,0.1
504493,0.33
498525,0.92
512511,
14116,0.2
191568,0.96
503464,3.95
498305,1.11
183223,0.34
512517,
512704,
283639,0.01
512225,
512237,
257679,0.89
238619,21.6
262259,0.58
505822,
505763,29.2
491316,0.14
513334,
512569,
513015,
498376,0.01
504190,0.15
495636,0.16
507508,0.05
512602,
240157,0.49
498403,0.01
512488,
506036,
490476,0.01
512542,
246014,0.68
452270,0.61
513029,0.05
227072,0.07
238608,7.48
248248,0.08
513404,
463303,0.02
487805,39.78
144881,0.24
198887,0.05
257009,3.03
504487,2.89
257676,0.95
507123,
230112,0.06
499572,4.32
505793,0.04
257684,0.4
512645,
513406,
126331,1.33
272781,3.44
504162,2.11
253542,0.56
513407,
215373,1.15
273372,1.04
253770,0.19
238609,12.39
235845,0.72
283420,0.75
504495,25.66
249405,0.01
507514,
505332,0.04
505819,2.03
503467,13.26
215384,2.23
512695,
513972,
222380,0.12
512611,
223106,0.03
187186,2.03
512530,
239712,0.02
498303,0.01
513410,
499765,0.35
513650,
513420,
246247,0.06
512515,
512712,
512534,
498365,0.01
505381,0.3
512555,
4815,2.59
1522,0.05
243382,0.41
92829,25.73
512227,
513335,
512494,
451900,0.36
505991,
265353,0.04
239757,1.15
505564,0.09
478426,0.23
507435,0.03
509564,
490536,4.61
164359,0.06
273342,0.65
187242,0.42
498610,0.9
506034,
505998,0.1
505810,0.05
265360,0.03
69196,0.8
92830,22.11
238607,9.17
246243,0.03
505835,3.24
238611,9.76
504130,3.25
498341,7.48
505353,1.04
240045,5.15
505812,0.58
262794,0.08
506767,1.11
452078,0.05
503578,4.73
513089,
262222,13.98
253429,0.03
151824,0.98
513507,
15574,2.35
475561,
512552,
262726,6.57
512682,
257677,0.52
513341,
505737,2.06
505334,0.04
499878,0.46
230466,0.07
506722,
498433,0.02
507486,
505799,0.28
513330,
123071,0.06
239719,0.01
505837,3.05
283403,6.68
265357,0.02
283642,0.01
452303,1.37
499406,0.01
268915,0.69
71021,0.13
503435,1.06
269664,0.33
506733,
507400,
499849,0.1
262776,0.01
495617,0.04
512565,
498680,0.15
262771,0.03
513087,
39521,1.31
505816,0.87
269107,0.02
505138,0.01
1381,0.29
257683,0.42
151826,1.58
15633,1.82
505351,
451938,0.07
505354,
495641,0.17
230105,0.2
273501,0.72
504955,0.06
513340,
505208,0.03
262050,20.92
239716,0.02
505978,0.05
262827,0.04
503394,2.13
253431,0.03
240050,0.8
14628,
238610,13.81
490390,3.49
505836,4.7
498386,0.01
34429,1.01
457078,0.02
512708,
273750,6.07
490335,5.37
498397,4.73
253433,0.03
269065,0.06
188173,1.59
513408,
513738,
498542,0.57
506650,0.26
226653,10.2
478931,1.4
512232,
282787,0.6
514900,
513399,0.01
212260,0.11
82365,0.01
491025,3.59
490547,2.36
451942,0.12
513690,
239714,0.02
198390,0.07
504147,1.3
504494,20.7
262721,0.16
506691,
273397,0.81
236137,0.77
66624,1.94
512990,
503604,0.01
506699,
512309,
253423,0.01
506748,
208384,1.07
503367,9.32
92828,21.65
263077,0.7
503362,10.16
199207,0.31
92831,24.56
183219,2.88
499216,0.11
151825,1.56
499404,0.01
253428,0.02
283635,0.01
505834,2.4
240412,0.02
273555,0.43
506723,
504534,0.16
506749,6.26
505766,0.79
92832,14.97
272616,0.36
505326,
490747,4.23
268758,0.02
14115,0.89
499347,0.04
504187,2.83
162122,0.75
505809,1.25
104997,2.37
513980,
207074,
503404,0.59
498821,0.49
513599,
283640,0.01
513769,
496063,3.98
504045,1.89
175205,9.3
507457,
506690,
199556,0.61
506724,
66560,0.09
507167,0.03
230111,0.23
505833,2.12
507108,
188386,11.4
498378,1.18
505838,3.28
457082,0.02
505344,0.01
504447,4.44
507255,
513565,
478440,1.39
512606,
503633,0.41
505801,
499589,0.14
227037,10.59
504537,1.56
262434,9.11
490466,0.09
506676,
506694,
190942,0.02
509562,
240403,0.04
512202,
504533,3.52
452255,0.81
273195,0.93
512545,
512895,
457071,0.1
4727,0.73
122672,10.9
507516,0.02
221957,0.34
239836,0.21
246439,
505807,0.4
496061,3.99
505759,0.12
188345,0.61
504500,4.59
142036,1.87
504561,23.72
451925,0.41
151828,1.21
268443,0.04
513299,
7357,27.19
499340,0.34
505017,1.86
503548,1.67
513387,
512618,
505788,0.78
505235,0.01
188872,0.02
256995,0.96
506664,1.28
505083,0.05
506014,
257003,1.04
257005,0.82
499328,0.26
5615,15.77
507036,0.25
198407,0.63
283637,0.01
268342,7.77
504536,1.66
506710,
499219,0.4
452228,0.69
506646,1.25
272931,2.11
239801,1.61
192543,3.76
452236,1.5
457137,0.01
236120,0.35
198898,0.51
513411,1.0
512692,5.01
221923,0.26
283524,0.77
503565,10.77
512649,
512686,
4883,0.73
1537,0.74
105272,0.07
504522,1.53
478419,6.23
457135,0.61
503556,5.31
451475,1.91
206926,6.39
198414,0.44
505307,0.09
504167,1.27
479492,0.02
272582,0.34
505974,
67373,0.69
513588,
499719,0.01
268759,0.05
507483,
273623,5.29
252859,0.43
269108,0.04
236021,0.08
505347,
513400,
262420,3.66
505830,2.36
503378,1.45
506046,0.28
512561,
10827,
256982,0.75
206690,0.02
230165,1.47
457077,0.03
136691,0.16
283631,0.1
505038,1.09
513412,
239720,0.02
273649,
506728,
253430,0.03
239713,0.01
503372,8.05
503635,0.16
452124,3.77
221831,0.01
198879,0.06
503359,7.45
503577,4.01
513713,
198683,0.07
505197,0.01
504564,2.67
512516,
272626,0.38
475564,
506732,
15480,0.05
239718,0.01
495654,0.38
512384,
222819,0.23
491395,0.02
498301,0.4
512351,
505338,
505244,0.01
452431,0.05
451455,0.03
498325,6.1
505831,3.19
503388,5.41
478443,1.06
187125,0.35
453207,0.02
503396,0.93
505373,
512536,
505341,
504549,1.45
499566,0.09
478445,1.39
504706,1.88
488272,0.48
183033,13.58
504164,17.39
513745,
512570,
478436,0.04
499459,0.01
230465,0.13
478532,10.11
92981,0.08
33294,1.46
488286,0.42
507090,7.79
507202,0.01
479182,0.05
222825,0.33
513396,
512615,
265354,0.09
504701,0.88
504502,0.56
212115,10.09
509566,
504756,2.52
268455,0.29
499218,8.33
499920,0.01
512992,
505797,0.15
226888,1.27
512873,
60017,0.88
505979,0.99
504286,0.25
478311,1.28
452208,0.06
513378,
498360,7.86
4848,2.96
198966,2.2
503481,1.15
230109,0.01
507174,0.02
269377,0.01
268790,0.03
452230,1.46
215554,0.01
70988,1.76
499027,0.11
505745,0.96
11466,0.23
183583,0.35
503400,1.49
505358,
475563,
498615,0.12
208391,
512869,
198868,0.16
151827,0.95
239807,0.62
498608,0.01
478278,1.9
273676,1.46
505366,0.01
208454,
512305,
498377,0.01
505778,0.17
513593,
226314,10.96
246248,0.03
96697,1.4
475498,0.1
126443,8.65
512383,
499341,0.74
513417,
246242,0.05
198548,0.64
507480,
66420,11.31
263073,0.55
230108,0.01
452265,2.37
9616,5.67
506030,0.03
491821,0.08
4881,1.6
176427,0.21
504554,3.08
505596,0.13
506700,0.9
246449,0.02
230134,0.03
505829,2.88
239715,0.01
457076,0.04
505828,2.16
499562,0.25
253434,0.03
506667,0.37
58931,0.18
273058,0.02
499929,0.01
235660,2.28
505854,1.32
273674,16.82
282758,2.11
262746,3.58
498357,7.61
243349,0.74
269374,0.14
499677,0.13
505827,1.56
221899,0.25
240108,2.01
496050,
256984,1.17
10206,2.11
505188,0.05
233914,0.21
505990,0.27
248183,0.6
512194,
475562,
70993,11.15
208386,0.51
37921,
212133,7.78
507484,
505022,1.5
513639,
505958,1.09
514885,
282804,1.84
499869,2.85
498536,0.26
221913,
68335,1.24
253555,0.12
484548,1.92
512487,
183584,0.37
283633,0.01
175202,10.38
66412,13.26
272799,
478687,0.06
155775,7.8
47694,1.33
505323,
455078,1.8
504516,0.74
90945,0.14
484937,17.98
478244,0.53
475560,
240318,9.87
513582,
506725,
505808,0.39
504748,0.02
11308,0.31
182831,7.44
243329,0.38
498298,5.17
498356,7.82
513418,
212549,0.02
503877,0.26
490235,0.02
283381,0.26
506704,0.62
122658,5.79
506050,
240137,0.22
513879,
498358,7.36
236007,0.83
506695,0.04
498560,0.46
69180,0.21
512641,
478314,1.2
498362,8.32
499311,4.99
182841,7.01
71039,23.02
182836,7.26
4307,5.73
262128,5.41
31833,2.52
498381,7.47
498443,0.01
239804,0.01
129741,1.92
499408,0.01
452103,0.19
499879,0.31
215544,0.22
230164,
512332,
239773,0.01
3360,3.76
505781,0.23
253668,2.04
39062,0.25
505232,0.57
272576,1.67
6703,7.1
499758,0.31
273757,0.34
499578,1.26
499294,0.34
269681,0.9
505775,0.58
490475,0.01
505814,1.75
504962,0.59
504499,0.41
503911,2.71
505345,0.04
498359,7.63
265348,5.39
198394,0.91
206978,10.81
282783,0.14
512477,
498364,7.46
239402,21.63
218259,1.43
498361,7.37
503465,2.32
484935,17.95
499749,0.23
457525,0.02
490400,2.2
267051,0.28
192744,1.77
478308,1.62
509560,
230101,0.01
71202,6.47
206642,8.23
507155,0.01
212177,1.35
504514,0.42
452064,4.72
246017,0.96
505983,
505595,0.27
66421,10.11
495598,6.15
39449,1.52
230153,0.01
240325,27.37
272640,0.02
512872,
512484,
286152,
499292,2.19
39509,1.61
39432,0.87
11423,1.12
513007,
506709,0.17
187187,4.36
505929,3.2
507448,
239364,0.03
498389,1.59
457069,0.02
478982,3.06
495625,0.37
513333,
505995,
221351,7.03
105714,0.22
191075,1.41
238617,0.45
122709,5.42
498543,0.14
4882,0.49
505310,
239776,0.04
212200,0.03
506003,0.44
283622,0.01
490659,0.99
267057,6.16
239741,9.87
491372,0.18
1349,0.05
503434,0.78
13359,2.48
253436,0.07
191058,0.34
505911,1.29
221836,0.01
513714,
262172,1.59
505308,
495646,2.72
499592,0.01
47262,0.02
187194,7.93
208379,1.14
505748,
265349,6.34
461925,0.06
499452,0.02
507145,0.01
503463,0.1
512381,
253534,0.08
506742,
262448,0.49
122600,6.23
236159,0.1
507133,0.02
175196,10.13
479510,4.88
498833,0.43
505321,
493447,0.01
221774,3.24
490490,0.87
206667,2.86
239826,0.94
36518,0.15
188629,0.63
453146,0.02
503584,0.06
66415,7.72
287824,0.02
504184,0.47
235881,4.14
505174,0.01
507495,
198999,0.02
504017,0.22
212617,
104282,
82901,3.86
253426,
498447,0.01
507147,0.05
235848,0.56
230185,1.14
506761,2.83
34738,2.14
506923,0.37
222115,1.32
506954,3.44
457073,0.02
495640,1.44
11682,
509556,
506686,0.23
504702,0.37
253425,0.01
500166,0.01
507460,
507112,0.01
265361,0.04
262787,
36465,1.0
488280,3.1
221839,0.01
513766,
498487,0.15
506854,1.72
36234,0.05
10746,0.14
4880,0.99
499285,0.51
505994,0.11
504215,0.1
513115,
239403,1.17
268570,0.54
215657,0.48
505851,0.59
506047,
207075,1.33
456732,0.3
488273,2.71
35651,1.84
239717,0.01
512713,
498550,0.01
504214,0.45
265351,3.63
513887,
499453,0.05
182125,0.04
505594,0.02
215723,0.01
262193,0.07
505388,1.61
504125,0.46
235658,1.07
506049,
512991,
199387,7.56
93286,0.01
457080,0.03
513385,
507130,
512480,3.24
509533,
272745,0.03
512680,
504763,2.38
506043,
57853,0.19
221841,0.38
230206,2.15
36495,0.48
506042,
512647,
504146,1.02
273082,0.38
191130,0.11
4641,0.45
491482,0.5
262466,0.01
221359,4.73
513361,
457142,0.35
273026,0.15
198745,2.14
484554,0.77
503473,0.12
491823,0.08
283118,4.82
499844,0.03
273362,0.14
478276,15.4
221823,0.01
512382,
248204,0.66
499838,
199428,3.12
212181,0.11
491205,6.49
226839,1.56
208383,0.92
230146,0.21
498379,0.43
507269,
215617,1.44
496153,8.92
504298,0.6
478313,0.79
267058,4.01
246250,0.01
491380,0.02
95379,1.72
513861,
506705,
505999,0.57
505859,3.63
239396,11.25
283625,0.01
207144,0.05
498382,4.73
122918,6.63
499206,0.1
243765,
499209,0.02
484595,6.17
479432,0.57
504505,0.06
129885,0.74
222820,0.12
283655,0.05
512322,
512599,
267056,3.35
498316,0.09
14117,0.33
503905,0.5
513490,
191572,0.01
479363,0.02
499336,0.1
282754,1.63
512498,
265346,5.14
452300,0.06
283629,0.01
230110,0.04
199388,1.41
283407,0.55
505794,0.04
243057,0.23
505114,2.44
175200,13.5
448401,0.02
452198,0.01
235147,2.69
212302,14.55
93033,1.48
93281,0.06
130149,27.68
490472,0.01
226941,1.98
206936,9.31
506045,
496056,5.02
512238,
507303,
478281,0.73
505792,0.05
265359,0.03
272672,
66385,1.88
269062,1.77
52206,11.42
14832,0.05
499876,
513520,
499582,1.56
282785,0.33
243352,0.28
1667,0.01
27769,3.09
230215,0.2
273747,0.14
226959,4.47
212551,3.36
509558,
215654,0.29
507493,
273570,2.99
252959,8.99
190647,25.11
499786,0.47
267054,3.56
273654,
36237,2.42
3384,0.79
496032,0.01
218842,1.73
505823,0.03
504555,5.27
216119,0.07
192637,0.2
506628,
183060,1.68
451474,1.46
105304,0.77
240152,0.68
239734,0.02
479034,0.03
505360,0.01
222030,3.98
230161,6.56
71354,5.34
273586,0.24
448411,1.58
505314,
504550,0.07
67323,9.97
496030,0.02
2315,
505081,0.88
11597,2.05
215712,0.16
226861,0.05
479312,8.57
466241,0.01
188627,0.5
499944,0.01
491469,0.06
478389,2.84
512509,
183213,7.53
491202,12.36
212049,0.54
273086,0.11
489649,2.47
115913,0.38
512535,
221827,0.01
498528,0.1
503406,6.98
513398,0.01
490384,0.01
505774,1.5
105299,0.25
262058,0.69
268383,0.06
239769,3.48
188705,0.74
512502,
507220,0.01
504169,5.2
55906,0.06
499752,0.11
512720,
5508,0.27
230107,0.05
183115,0.03
454796,0.76
499967,4.2
503395,0.56
243154,0.1
506010,
499595,4.79
239774,0.08
175575,5.24
484655,33.98
490493,4.79
457270,0.23
90915,0.04
512639,
458099,0.12
503587,5.13
226634,0.4
503432,0.46
505357,
478490,0.75
272901,6.9
506941,0.6
499776,1.32
188708,5.1
507086,2.34
135091,0.27
215368,2.93
512722,
212123,0.04
479581,0.07
503881,0.39
135074,11.85
499222,0.27
506717,
92817,3.24
505960,3.63
504181,30.95
495639,0.13
491820,0.21
512490,
499732,10.76
499668,0.06
221840,0.01
506037,
66531,0.01
506026,
126433,0.02
505934,1.34
504527,0.08
503426,5.55
192640,2.57
503543,0.17
218844,0.6
506721,
192842,0.27
512241,
114875,1.93
504139,0.12
66388,0.06
504509,0.08
206648,2.87
512553,
191582,0.04
478309,0.78
504580,0.04
267055,3.24
116436,0.29
227274,
505846,1.22
67322,7.98
506007,
212769,0.01
245173,
273506,1.36
67320,7.96
513355,
248106,0.19
505591,0.06
14114,0.49
39492,0.69
476067,
36340,0.64
498317,
506041,
66473,24.16
479343,2.16
505790,3.95
262157,0.02
1898,0.74
